#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 k3 	 E(k3) 	 k4 	 E(k4) 	 k5 	 E(k5) 	 k6 	 E(k6) 	 Chi2/DOF
2525	5.062578063	0.009149547269	75978.6624	467.9567989	2.044360662	0.007514948787	0.1226695633	0.004708245667	0.09686320055	0.008652563522	0.06880938254	0.001797525198	0.09685774065	0.00858307407	4.901536765
2526	5.066258044	0.009034383996	77547.24903	471.497422	2.047351928	0.007337707036	0.1171200775	0.006777582374	0.09903111484	0.01055178412	0.07833547786	0.003123969748	0.09907035474	0.01062342714	4.690392627
2527	5.043591582	0.008379565101	78004.48813	449.9601954	2.099261964	0.007212001476	0.3150883497	0.004658833385	0.4394577578	0.005054734973	0.3150773	0.004658667837	0.237820669	0.002042252964	5.032023749
2528	5.032699961	0.00889414738	90880.2009	2034.800233	2.184903761	0.01056474705	1.177798564	0.03640510599	1.484335742	0.04413177666	0.05145607247	0.002426813363	0.05431430406	0.002554055986	6.114520843
2529	5.024243205	0.009049053943	79581.42933	672.4631776	2.133587132	0.01180481963	0.562817489	0.03846644065	0.6490559314	0.04961408322	0.06033126789	0.002330705735	0.05053964696	0.001893561019	1.572430064
2530	5.027958161	0.008580386175	90252.06938	548.5569461	2.187380728	0.0094462311	1.123192374	0.01802276091	1.429422368	0.02512435504	-0.0248670797	0.01164947653	-0.02482142173	0.01166581201	6.001456894
2531	5.01644042	0.009324673119	79408.24848	712.2955704	2.145565332	0.01280061044	0.5606264373	0.03702787924	0.6508775496	0.0490685626	0.05977567331	0.00236067935	0.05096573359	0.00195361197	1.430997946
2532	5.06231293	0.008676094393	77849.04084	457.1241498	2.061320838	0.007125397689	0.107219115	0.005282849996	0.08250424451	0.003163886898	0.04996850465	0.001550369961	0.0824974885	0.003164356895	1.377927955
2533	5.023224428	0.008165283889	88633.34772	1800.490002	2.19706934	0.008771871995	0.7252896487	0.01638734516	1.144652481	0.01534957472	0.7193760872	0.01614305777	0.581036202	0.007421357965	5.43186583
2534	5.036875346	0.008820196627	86027.2656	3258.299127	2.161517139	0.02275239236	1.050681883	0.09598194777	1.256901386	0.1732237738	0.05289380822	0.005501678857	0.05370616784	0.005577244852	4.322814572
