#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 Chi2/DOF
5232	5.077461196	0.008663013615	76305.65456	467.3095302	2.077588951	0.00814590272	5.722954623
5233	5.067491262	0.009127786676	73234.90738	464.0886066	2.048480789	0.008297860396	8.935694943
5234	5.069229805	0.008738827115	75951.45795	466.8930698	2.083247614	0.008238968497	8.080849624
5235	5.079914962	0.008546592728	74279.79609	462.1778646	2.046636042	0.007970727653	5.305227478
5236	5.072290402	0.008919766521	76484.15018	470.758246	2.077240433	0.008269037777	6.878136162
5237	5.067983707	0.008933338918	73253.04869	462.1549621	2.050111389	0.008204109815	8.958878683
5238	5.067450505	0.009019516852	76184.86169	470.2968893	2.079134084	0.008317085582	9.063305766
5239	5.073882599	0.008609140966	73653.90168	461.2711035	2.046623981	0.008039322015	5.985790008
5240	5.059161793	0.009659082101	73709.75288	464.4891544	2.106582429	0.008853815223	6.530202974
5241	5.063610596	0.009193187813	75114.43906	472.5035482	2.037489318	0.008204023342	5.746107921
5242	5.060273001	0.009621892273	73409.90075	463.277442	2.104210596	0.008832077612	4.254970091
5243	5.047901627	0.009368772044	75424.3668	474.7778584	2.050325555	0.008354002371	8.067707854
5244	5.065078291	0.009335440529	73402.51609	460.8526393	2.100037341	0.008666659663	8.589691756
5245	5.062552553	0.009081951699	75281.10001	472.2192224	2.035432034	0.008122910084	7.897109147
5246	5.06747132	0.0092508692	74189.04833	462.7092248	2.102215089	0.008620091327	5.138386836
5247	5.070202922	0.008815792258	75981.38242	472.3526668	2.033502835	0.007972862199	6.610462585
5248	5.059602401	0.009407934083	73742.72893	462.6149863	2.103646617	0.008711065841	14.87111859
5249	5.054915667	0.009282250315	75529.88803	474.3953636	2.039888577	0.008224388736	5.851245839
5250	5.075374217	0.008822835086	74290.36848	462.523654	2.068145693	0.008216763052	5.832022902
5251	5.064121432	0.009247928913	75510.1609	472.3017704	2.055133464	0.008299722158	8.788989112
5252	5.059989106	0.009195665421	73892.49034	464.0084287	2.078193887	0.008458150303	5.506282309
5253	5.066572062	0.009047467508	75559.61609	470.849732	2.053814583	0.008199254095	8.7991066
5254	5.080407997	0.008522035409	74377.3245	460.1008103	2.067011385	0.008066829734	9.926471987
5255	5.056200019	0.009334354528	75426.60589	473.1879691	2.054860134	0.008341747436	4.039109933
5256	5.061586746	0.009293426498	74079.96809	465.8406769	2.073017967	0.008460972787	9.268468785
5257	5.065775988	0.009153776417	75600.40422	472.5639429	2.046547766	0.008204425244	6.910547349
5258	5.073586853	0.008933933341	73667.23706	461.0924844	2.067572317	0.00826832333	4.698832829
5259	5.063904658	0.009173697492	75094.20579	470.5551876	2.053309828	0.008274133881	7.610918692
5260	5.072635364	0.008860041513	74282.54315	465.8277174	2.038714257	0.008062298459	8.21543033
5261	5.070263878	0.009286783243	71352.57677	460.5242879	2.024965607	0.008294309101	5.278729416
5262	5.057494512	0.009284833266	74391.29728	469.5848571	2.0492169	0.008327106914	3.905210519
5263	5.065027415	0.009150978196	72013.19297	461.6506342	2.025852925	0.008191478114	9.054126062
5264	5.06609583	0.009079650841	74874.3111	469.0949102	2.051352735	0.008228155838	5.640681884
5265	5.064862402	0.009151494669	72109.74354	461.7873844	2.027918968	0.008198830196	6.628866678
5266	5.056815884	0.009319257302	74494.4781	469.8913551	2.056097956	0.008386086289	6.603699007
5267	5.075868927	0.009077627366	72135.51199	461.1013574	2.016095013	0.008075224094	7.966102131
5268	5.063466994	0.008984597488	74754.52661	467.6372187	2.055973767	0.00821645295	12.7577028
5269	5.061577037	0.009590500927	71882.03361	464.2312602	2.027552514	0.008388144974	4.498532408
5270	5.07365213	0.009157965422	74262.68006	468.5519622	2.02802581	0.008121594827	8.317543899
5271	5.072385132	0.009073590778	73464.27687	465.2064805	2.036814633	0.008193976665	4.317109795
5272	5.067234695	0.008912044668	74211.65795	466.3496942	2.039672459	0.008098877226	8.482167691
5273	5.069177561	0.009288584	73578.17334	467.3890453	2.030214489	0.008231754854	4.866097383
5274	5.068314178	0.008942802642	74299.81832	466.8257326	2.041314438	0.008126895977	10.15439654
5275	5.066014873	0.009386820875	73660.94204	468.6756044	2.0305828	0.008268259161	6.37209945
5276	5.058461657	0.009230080154	73997.8279	467.7343247	2.051455805	0.008331837226	11.74978051
5277	5.070856429	0.009022505788	73782.97719	466.3074891	2.032200853	0.008126115722	7.341571555
5278	5.068791492	0.009117029599	74082.59443	467.3828956	2.038891264	0.008188118689	6.889746614
5279	5.0736458	0.009105009681	73938.03923	467.3922829	2.026741016	0.00811164948	9.465969087
5280	5.058127107	0.009357253965	73109.33821	469.8685118	2.002349787	0.008135351243	4.077289899
5281	5.052794158	0.009426988338	73037.30989	469.6359327	2.019788563	0.008293784964	4.794456644
5282	5.051739767	0.009557191849	74006.28413	474.4113156	2.003456968	0.008183896005	8.099500902
5283	5.047488749	0.009617089552	73373.83508	472.3993218	2.011548099	0.008282130101	5.925005952
5284	5.050617446	0.009370519429	73241.12577	470.0730549	2.014605359	0.008214203626	4.947222407
5285	5.043690171	0.009409971175	72975.29318	469.0326592	2.027981016	0.008336374868	7.677254139
5286	5.041029471	0.009511436274	72930.72996	469.6478539	2.027962442	0.008379210132	3.225022104
5287	5.038660958	0.009724772789	72765.04881	471.1134638	2.01970721	0.008410847506	5.153091016
5288	5.056349626	0.009183176165	73770.56668	469.8835658	2.014972911	0.008112278219	8.298410936
5289	5.047641739	0.009455628744	73275.56892	470.7719864	2.01691737	0.00826249832	3.449748065
5290	5.048399982	0.009668704722	73736.03366	470.1083305	2.061740396	0.008603392472	5.093641608
5291	5.050390808	0.009491752936	72372.42764	466.9697712	2.02993761	0.008402582736	2.704580597
5292	5.047635806	0.009624015951	73496.88812	468.8297143	2.062530608	0.00859777222	5.779830844
5293	5.044836315	0.009639694454	72755.21519	469.5402472	2.028396143	0.008428485535	5.44973309
5294	5.038863719	0.009691053046	73475.67535	468.7411041	2.074941394	0.008716366925	2.494191053
5295	5.044323342	0.009451423488	72974.20675	468.5368843	2.034529455	0.008384165272	3.040517684
5296	5.03931293	0.009756655994	73525.66463	470.2671113	2.06580547	0.008680635306	5.705886678
5297	5.05318624	0.009499463682	72702.72005	468.5676462	2.019957825	0.00832169623	7.587802133
5298	5.046663267	0.009578388927	74049.95668	470.4313228	2.062724474	0.008555885099	7.121598387
5299	5.052998946	0.009458039453	72950.31857	469.2842553	2.017996737	0.008280729008	4.017028613
5300	5.045097833	0.009695990369	74035.88247	472.7861214	2.051687891	0.008555453264	5.856776812
5301	5.055141364	0.009464742245	73195.46589	469.5752509	2.026326381	0.008331185579	6.906258148
5302	5.049327718	0.009533666674	73711.55422	470.1805889	2.04889665	0.008470611481	8.350056241
